12:37:48.807 [main] INFO  mh.clients.Clients - start
12:37:57.427 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-30","3131")
12:37:57.430 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-01","2744")
12:37:57.434 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-02","2617")
12:37:57.437 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-03","2717")
12:37:57.441 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-04","2679")
12:37:57.443 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-05","2824")
12:37:57.446 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-06","2897")
12:37:57.449 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-07","2936")
12:37:57.453 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-08","2681")
12:37:57.455 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-09","2640")
12:37:57.458 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-10","2676")
12:37:57.460 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-11","2718")
12:37:57.463 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-12","2669")
12:37:57.466 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-13","2711")
12:37:57.469 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-14","2725")
12:37:57.472 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-15","2578")
12:37:57.474 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-16","2403")
12:37:57.477 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-17","2584")
12:37:57.480 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-18","2677")
12:37:57.483 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-19","2611")
12:37:57.485 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-20","2508")
12:37:57.487 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-21","2544")
12:37:57.490 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-22","2286")
12:37:57.493 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-23","2198")
